"Dataset Name","Dataset Code","Country Name","Country Code","Commodity Name","Commodity Code","Unit Name","Unit Code","Metadata Attribute","Metadata Value","Frequency"
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Full Name","Primary Commodity Prices, Lithium",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Name","Lithium",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity SDMX Code","PLITH",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity SDMX Name","Primary Commodity Prices, Lithium",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Short Name","Lithium",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Source Code","PLITH",""
"Primary Commodity Price System (PCPS)","PCPS","","","Lithium","PLITH","","","Commodity Topic","Real Sector",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Alternate Publication Codes","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Code","PNICK",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Concept","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity CTS Code","",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Definition","Nickel, melting grade, LME spot price, CIF European ports, US$ per metric ton",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Full Name","Primary Commodity Prices, Nickel ",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Name","Nickel ",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity SDMX Code","PNICK",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity SDMX Name","Primary Commodity Prices, Nickel ",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Short Name","Nickel ",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Source Code","PNICK",""
"Primary Commodity Price System (PCPS)","PCPS","","","Nickel ","PNICK","","","Commodity Topic","Real Sector",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Alternate Publication Codes","",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Code","IX",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit CTS Code","IX",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Definition","",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Full Name","Index",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Name","Index",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit SDMX Code","IX",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit SDMX Name","Index",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Short Name","Index",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Source Code","Index",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Index","IX","Unit Unit","Index",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Alternate Publication Codes","",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Code","PC_CP_A_PT",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit CTS Code","PC_CP_A_PT",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Definition","For monthly or quarterly data, this is the change between the current month or quarter and the same month/quarter of the previous year. For annual data, this is equivalent to the year-to-year change.",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Full Name","Percent Change, Corresponding Period, Previous Year, Percent",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Name","Percent Change over Corresponding Period Previous Year",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit SDMX Code","PC_CP_A_PT",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit SDMX Name","Percent Change, Corresponding Period, Previous Year, Percent",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Short Name","Percent Change, Corresponding Period, Previous Year",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Source Code","Index_PCHY",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT","Unit Unit","Percent",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Alternate Publication Codes","",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Code","PC_PP_PT",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit CTS Code","PC_PP_PT",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Definition","For monthly data, this is the month-to-month change, for quarterly data, the quarter-to-quarter change, and for annual data, the year-to-year change.",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Full Name","Percent Change, Previous Period, Percent",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Name","Percent Change over Previous Period",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit SDMX Code","PC_PP_PT",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit SDMX Name","Percent Change, Previous Period, Percent",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Short Name","Percent Change, Previous Period",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Source Code","Index_PCH",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","Percent Change over Previous Period","PC_PP_PT","Unit Unit","Percent",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Alternate Publication Codes","",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Code","USD",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit CTS Code","USD",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Definition","",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Full Name","US Dollars",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Name","US Dollars",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit SDMX Code","USD",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit SDMX Name","US Dollars",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Short Name","US Dollars",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Source Code","USD",""
"Primary Commodity Price System (PCPS)","PCPS","","","","","US Dollars","USD","Unit Unit","US Dollars",""
